l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
256,8,ON,16,DDR4_2400_16x4,TaggedPrefetcher,128,0.032842
128,16,ON,8,DDR3_2133_8x8,None,128,0.047905
64,2,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,64,0.140277
64,1,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.047759
32,1,ON,1,DDR3_1600_8x8,BOPPrefetcher,32,0.059836
512,8,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.032760
64,2,ON,4,DDR3_2133_8x8,BOPPrefetcher,128,0.057414
64,2,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.045094
128,1,ON,2,DDR4_2400_4x16,TaggedPrefetcher,32,0.047831
256,8,OFF,4,DDR4_2400_4x16,BOPPrefetcher,128,0.031750
128,8,ON,8,DDR3_1600_8x8,BOPPrefetcher,64,0.041688
256,4,ON,2,DDR3_2133_8x8,None,32,0.032591
256,1,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,128,0.087561
64,8,OFF,8,DDR4_2400_8x8,None,32,0.151546
512,2,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,64,0.043942
64,2,ON,2,DDR3_2133_8x8,None,32,0.056333
256,2,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.031977
256,2,ON,1,DDR3_2133_8x8,None,64,0.032848
64,1,ON,16,DDR4_2400_16x4,None,32,0.055417
128,16,ON,16,DDR3_1600_8x8,TaggedPrefetcher,128,0.050528
64,2,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.149966
128,4,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,64,0.075245
64,1,ON,16,DDR3_1600_8x8,None,32,0.056541
256,4,OFF,1,DDR4_2400_4x16,None,32,0.036007
512,1,ON,8,DDR4_2400_4x16,AMPMPrefetcher,32,0.033179
256,1,ON,1,DDR4_2400_8x8,AMPMPrefetcher,128,0.052068
32,4,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,128,0.172758
512,8,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.031803
64,2,ON,16,DDR4_2400_8x8,AMPMPrefetcher,32,0.058940
256,8,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,32,0.032429
64,1,ON,8,DDR4_2400_8x8,BOPPrefetcher,128,0.056421
512,8,OFF,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.031856
64,1,ON,2,DDR4_2400_16x4,None,128,0.056549
256,2,OFF,1,DDR4_2400_16x4,BOPPrefetcher,128,0.068387
256,2,ON,4,DDR3_2133_8x8,None,32,0.037539
32,4,ON,16,DDR4_2400_4x16,BOPPrefetcher,128,0.057452
512,4,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,128,0.031939
512,16,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.032757
256,16,ON,2,DDR3_1600_8x8,BOPPrefetcher,32,0.032455
512,8,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,128,0.031922
